trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
49	143	2	2	1	2	2	297.96	197.21	61.16	30.72
49	143	2	2	1	2	3	320.71	226.93	28.44	20.48
49	143	2	2	1	2	4	315.02	249.63	35.56	23.04
50	135	2	2	2	0	1	279.47	171.38	79.64	123.73
50	135	2	2	2	0	2	285.16	190.08	68.27	30.72
50	135	2	2	2	0	3	304.36	219.8	29.87	21.33
50	135	2	2	2	0	4	295.82	243.36	46.93	23.89
50	135	2	2	2	1	1	196.98	174.05	73.96	119.47
50	135	2	2	2	1	2	201.24	189.19	64	30.72
50	135	2	2	2	1	3	219.02	218.91	30.58	22.19
50	135	2	2	2	1	4	214.76	243.32	42.67	23.04
50	135	2	2	2	2	1	366.22	173.16	77.51	121.17
50	135	2	2	2	2	2	373.33	192.75	64	31.57
50	135	2	2	2	2	3	391.11	223.33	28.44	20.48
50	135	2	2	2	2	4	384.71	246.07	39.82	21.33
51	152	2	2	1	0	1	199.11	176.73	76.09	115.2
51	152	2	2	1	0	2	205.51	191.86	62.58	32.43
51	152	2	2	1	0	3	221.87	223.29	30.58	20.48
51	152	2	2	1	0	4	216.18	246.07	43.38	21.33
51	152	2	2	1	1	1	283.73	176.73	76.8	118.61
51	152	2	2	1	1	2	292.98	194.53	60.44	28.16
51	152	2	2	1	1	3	307.2	221.69	30.58	20.48
51	152	2	2	1	1	4	301.51	244.29	41.96	23.89
51	152	2	2	1	2	1	368.36	173.16	73.24	120.32
51	152	2	2	1	2	2	373.33	190.08	63.29	32.43
51	152	2	2	1	2	3	389.69	221.51	33.42	19.63
51	152	2	2	1	2	4	385.42	243.44	42.67	28.16
52	163	2	2	1	0	1	276.62	176.73	64	115.2
52	163	2	2	1	0	2	288.71	193.64	48.36	29.87
52	163	2	2	1	0	3	311.47	222.51	29.16	21.33
52	163	2	2	1	0	4	307.91	246.03	28.44	22.19
52	163	2	2	1	1	1	194.13	175.83	65.42	113.49
52	163	2	2	1	1	2	210.49	195.42	45.51	27.31
52	163	2	2	1	1	3	229.69	221.73	29.87	19.63
52	163	2	2	1	1	4	223.29	243.44	30.58	23.89
52	163	2	2	1	2	1	361.24	178.51	68.27	117.76
52	163	2	2	1	2	2	371.91	197.21	57.6	30.72
52	163	2	2	1	2	3	396.09	226.93	29.87	17.92
52	163	2	2	1	2	4	388.98	247.07	35.56	23.89
53	123	2	2	1	0	1	284.44	173.16	71.82	117.76
53	123	2	2	1	0	2	299.38	191.86	56.18	29.01
53	123	2	2	1	0	3	319.29	219.88	28.44	19.63
53	123	2	2	1	0	4	315.02	240.76	35.56	25.6
53	123	2	2	1	1	1	197.69	173.16	83.2	120.32
53	123	2	2	1	1	2	212.62	189.19	66.84	33.28
53	123	2	2	1	1	3	236.8	221.47	32	20.48
53	123	2	2	1	1	4	229.69	244.29	44.09	23.89
53	123	2	2	1	2	1	363.38	177.62	73.96	115.2
53	123	2	2	1	2	2	376.18	190.08	59.73	30.72
53	123	2	2	1	2	3	398.22	219.8	31.29	18.77
53	123	2	2	1	2	4	393.24	240.8	38.4	26.45
54	142	2	2	1	0	1	288	174.05	77.51	119.47
54	142	2	2	1	0	2	292.98	192.75	66.84	33.28
54	142	2	2	1	0	3	311.47	225.03	30.58	18.77
54	142	2	2	1	0	4	305.78	246.14	41.96	20.48
54	142	2	2	1	1	1	200.53	176.73	78.93	118.61
54	142	2	2	1	1	2	203.38	191.86	66.13	31.57
54	142	2	2	1	1	3	217.6	222.44	28.44	20.48
54	142	2	2	1	1	4	213.33	245.18	40.53	23.04
54	142	2	2	1	2	1	372.62	174.05	75.38	122.88
54	142	2	2	1	2	2	376.89	193.64	65.42	29.87
54	142	2	2	1	2	3	393.96	222.51	32.71	19.63
54	142	2	2	1	2	4	388.27	244.33	44.09	24.75
55	113	2	2	1	0	1	283.73	175.83	63.29	118.61
55	113	2	2	1	0	2	300.8	198.99	45.51	29.01
55	113	2	2	1	0	3	318.58	227	28.44	17.92
55	113	2	2	1	0	4	312.89	247.07	29.87	19.63
55	113	2	2	1	1	1	206.22	175.83	67.56	113.49
55	113	2	2	1	1	2	223.29	196.31	48.36	29.87
55	113	2	2	1	1	3	239.64	225.18	28.44	18.77
55	113	2	2	1	1	4	233.96	246.14	32	23.04
55	113	2	2	1	2	1	361.24	174.94	65.42	117.76
55	113	2	2	1	2	2	376.89	198.99	48.36	29.01
55	113	2	2	1	2	3	393.96	227	29.16	18.77
55	113	2	2	1	2	4	386.13	247.92	34.84	21.33
56	121	2	2	1	0	1	203.38	177.62	66.13	117.76
56	121	2	2	1	0	2	204.8	192.75	46.93	28.16
56	121	2	2	1	0	3	204.09	219.91	27.73	19.63
56	121	2	2	1	0	4	204.09	241.65	32	26.45
56	121	2	2	1	1	1	285.87	176.73	68.98	118.61
56	121	2	2	1	1	2	285.87	194.53	54.76	29.87
56	121	2	2	1	1	3	288	223.4	33.42	19.63
56	121	2	2	1	1	4	292.27	245.22	34.13	24.75
56	121	2	2	1	2	1	374.76	176.73	64	115.2
56	121	2	2	1	2	2	376.89	196.31	51.91	29.01
56	121	2	2	1	2	3	374.76	224.33	29.87	17.92
56	121	2	2	1	2	4	378.31	244.4	32.71	23.89
57	155	2	2	1	0	1	362.67	175.83	78.22	122.03
57	155	2	2	1	0	2	367.64	189.19	66.84	34.13
57	155	2	2	1	0	3	385.42	222.32	32	21.33
57	155	2	2	1	0	4	380.44	246.03	44.8	22.19
57	155	2	2	1	1	1	194.84	172.27	78.22	122.88
57	155	2	2	1	1	2	201.24	192.75	63.29	34.13
57	155	2	2	1	1	3	217.6	225.89	32	21.33
57	155	2	2	1	1	4	213.33	249.59	40.53	23.89
57	155	2	2	1	2	1	281.6	174.05	76.09	123.73
57	155	2	2	1	2	2	285.87	191.86	65.42	32.43
57	155	2	2	1	2	3	302.93	223.29	31.29	18.77
57	155	2	2	1	2	4	297.96	244.36	43.38	25.6
58	111	2	2	1	0	1	206.22	171.38	81.07	135.68
58	111	2	2	1	0	2	209.07	202.55	49.07	29.01
58	111	2	2	1	0	3	206.22	230.56	32	20.48
58	111	2	2	1	0	4	210.49	253.19	33.42	21.33
58	111	2	2	1	1	1	292.98	171.38	72.53	132.27
58	111	2	2	1	1	2	293.69	196.31	51.2	29.01
58	111	2	2	1	1	3	292.98	224.33	31.29	19.63
58	111	2	2	1	1	4	295.82	246.11	31.29	23.04
58	111	2	2	1	2	1	370.49	168.71	80.36	132.27
58	111	2	2	1	2	2	373.33	196.31	51.91	28.16
58	111	2	2	1	2	3	370.49	223.47	30.58	20.48
58	111	2	2	1	2	4	372.62	246.07	30.58	26.45
59	163	2	2	2	0	1	283.02	182.07	69.69	113.49
59	163	2	2	2	0	2	290.84	198.1	59.73	31.57
59	163	2	2	2	0	3	314.31	228.67	30.58	19.63
59	163	2	2	2	0	4	310.76	250.56	36.27	24.75
59	163	2	2	2	1	1	197.69	182.96	62.58	111.79
59	163	2	2	2	1	2	206.22	196.31	52.62	30.72
59	163	2	2	2	1	3	224.71	226.03	28.44	20.48
59	163	2	2	2	1	4	222.58	248.74	32.71	23.89
59	163	2	2	2	2	1	374.04	182.07	66.13	115.2
59	163	2	2	2	2	2	384	198.99	54.76	33.28
59	163	2	2	2	2	3	402.49	231.27	29.16	18.77
59	163	2	2	2	2	4	396.09	252.38	35.56	23.04
60	133	2	2	1	0	1	280.89	172.27	71.11	126.29
60	133	2	2	1	0	2	300.8	198.99	48.36	28.16
60	133	2	2	1	0	3	322.13	226.15	29.87	18.77
60	133	2	2	1	0	4	315.02	247.03	32	22.19
60	133	2	2	1	1	1	194.13	175.83	76.09	122.03
60	133	2	2	1	1	2	219.73	192.75	48.36	34.13
60	133	2	2	1	1	3	239.64	225.89	30.58	19.63
60	133	2	2	1	1	4	234.67	247.89	29.87	23.04
60	133	2	2	1	2	1	364.09	176.73	76.8	123.73
60	133	2	2	1	2	2	387.56	198.99	49.07	29.01
60	133	2	2	1	2	3	411.02	227	29.87	18.77
60	133	2	2	1	2	4	406.04	247.92	29.87	24.75
61	113	2	2	2	0	1	200.53	173.16	68.98	120.32
61	113	2	2	2	0	2	211.2	191.86	56.18	31.57
61	113	2	2	2	0	3	230.4	222.44	28.44	20.48
61	113	2	2	2	0	4	223.29	245.18	37.69	21.33
61	113	2	2	2	1	1	283.02	170.49	71.82	124.59
61	113	2	2	2	1	2	297.96	198.99	55.47	30.72
61	113	2	2	2	1	3	316.44	228.71	31.29	17.92
61	113	2	2	2	1	4	310.76	248.85	39.11	19.63
61	113	2	2	2	2	1	365.51	171.38	79.64	123.73
61	113	2	2	2	2	2	382.58	194.53	61.16	30.72
61	113	2	2	2	2	3	402.49	224.25	32	19.63
61	113	2	2	2	2	4	396.8	247	39.11	24.75
62	143	2	2	2	0	1	366.93	173.16	67.56	120.32
62	143	2	2	2	0	2	381.87	195.42	51.2	31.57
62	143	2	2	2	0	3	403.2	226	29.16	17.92
62	143	2	2	2	0	4	399.64	246.18	30.58	18.77
62	143	2	2	2	1	1	194.84	174.05	66.84	118.61
62	143	2	2	2	1	2	210.49	194.53	46.22	27.31
62	143	2	2	2	1	3	233.24	220.84	28.44	17.07
62	143	2	2	2	1	4	228.27	239.98	29.16	25.6
62	143	2	2	2	2	1	278.76	180.29	71.11	109.23
62	143	2	2	2	2	2	297.24	190.97	50.49	34.13
62	143	2	2	2	2	3	317.16	224.11	32.71	17.92
62	143	2	2	2	2	4	315.02	244.4	30.58	26.45
63	133	2	2	2	0	1	197.69	171.38	78.93	123.73
63	133	2	2	2	0	2	211.2	191.86	63.29	31.57
63	133	2	2	2	0	3	234.67	222.44	31.29	17.92
63	133	2	2	2	0	4	226.84	242.62	42.67	24.75
63	133	2	2	2	1	1	280.89	169.6	79.64	122.88
63	133	2	2	2	1	2	296.53	190.08	61.87	32.43
63	133	2	2	2	1	3	316.44	221.51	32	20.48
63	133	2	2	2	1	4	310.04	243.4	39.82	25.6
63	133	2	2	2	2	1	364.8	171.38	75.38	122.03
63	133	2	2	2	2	2	378.31	190.08	59.73	31.57
63	133	2	2	2	2	3	398.22	220.66	30.58	18.77
63	133	2	2	2	2	4	394.67	241.69	37.69	23.89
64	162	2	2	2	0	1	289.42	174.94	73.24	115.2
64	162	2	2	2	0	2	294.4	190.08	64	31.57
64	162	2	2	2	0	3	310.76	220.66	31.29	20.48
64	162	2	2	2	0	4	306.49	243.4	39.82	23.89
64	162	2	2	2	1	1	204.09	176.73	72.53	110.08
64	162	2	2	2	1	2	206.93	190.08	65.42	30.72
64	162	2	2	2	1	3	225.42	219.8	29.87	20.48
64	162	2	2	2	1	4	220.44	242.51	39.11	21.33
64	162	2	2	2	2	1	369.78	177.62	73.96	115.2
64	162	2	2	2	2	2	376.18	195.42	61.87	32.43
64	162	2	2	2	2	3	392.53	226.85	29.87	19.63
64	162	2	2	2	2	4	387.56	248.78	39.11	18.77
65	123	2	2	2	0	1	202.67	174.05	66.84	120.32
65	123	2	2	2	0	2	221.87	191.86	44.8	18.77
65	123	2	2	2	0	3	241.07	209.64	28.44	19.63
65	123	2	2	2	0	4	236.8	239.87	30.58	24.75
65	123	2	2	2	1	1	283.73	178.51	66.84	116.05
65	123	2	2	2	1	2	300.8	194.53	47.64	31.57
65	123	2	2	2	1	3	319.29	225.11	29.16	19.63
65	123	2	2	2	1	4	313.6	247	32	23.89
65	123	2	2	2	2	1	359.82	182.96	70.4	112.64
65	123	2	2	2	2	2	373.33	198.99	54.04	31.57
65	123	2	2	2	2	3	394.67	229.56	28.44	18.77
65	123	2	2	2	2	4	390.4	250.6	33.42	22.19
66	151	2	2	1	0	1	198.4	174.94	72.53	122.03
66	151	2	2	1	0	2	201.96	188.3	55.47	37.55
66	151	2	2	1	0	3	198.4	224.85	34.84	20.48
66	151	2	2	1	0	4	202.67	247.85	34.84	22.19
66	151	2	2	1	1	1	281.6	174.94	83.91	121.17
66	151	2	2	1	1	2	284.44	190.97	56.89	33.28
66	151	2	2	1	1	3	284.44	223.25	34.13	21.33
66	151	2	2	1	1	4	289.42	246.92	38.4	23.89
66	151	2	2	1	2	1	373.33	174.05	76.09	122.88
66	151	2	2	1	2	2	376.89	189.19	51.91	35.84
66	151	2	2	1	2	3	373.33	224.03	31.29	21.33
66	151	2	2	1	2	4	377.6	248.7	33.42	26.45
67	115	2	2	2	0	1	368.36	177.62	74.67	118.61
67	115	2	2	2	0	2	377.6	198.1	56.18	31.57
67	115	2	2	2	0	3	391.82	228.67	29.16	17.92
67	115	2	2	2	0	4	385.42	248.85	41.96	19.63
67	115	2	2	2	1	1	196.98	179.4	76.09	120.32
67	115	2	2	2	1	2	201.96	197.21	64	29.01
67	115	2	2	2	1	3	216.89	225.22	32.71	20.48
67	115	2	2	2	1	4	212.62	247.85	44.09	26.45
67	115	2	2	2	2	1	281.6	179.4	78.93	115.2
67	115	2	2	2	2	2	287.29	198.1	64.71	29.01
67	115	2	2	2	2	3	303.64	226.11	30.58	19.63
67	115	2	2	2	2	4	298.67	247.89	44.09	23.89
68	72	1	2	1	0	1	174.22	125.87	74.22	126.93
68	72	1	2	1	0	2	184.44	162.67	54.22	20.8
68	72	1	2	1	0	3	200	182.47	24.89	21.33
68	72	1	2	1	0	4	193.78	205.4	37.33	19.2
68	72	1	2	1	1	1	287.56	126.4	73.78	130.13
68	72	1	2	1	1	2	298.22	165.87	55.11	19.73
68	72	1	2	1	1	3	313.78	184.6	25.33	19.73
68	72	1	2	1	1	4	308.89	204.87	34.67	25.6
68	72	1	2	1	2	1	390.22	126.93	74.22	128.53
68	72	1	2	1	2	2	399.11	167.47	56	20.8
68	72	1	2	1	2	3	413.78	187.27	27.11	20.27
68	72	1	2	1	2	4	407.56	208.07	40	21.87
68	72	1	2	1	3	1	173.78	309.33	73.78	115.2
68	72	1	2	1	3	2	183.11	341.33	55.56	21.33
68	72	1	2	1	3	3	196.44	361.67	27.11	19.2
68	72	1	2	1	3	4	194.22	381.93	33.33	17.07
68	72	1	2	1	4	1	282.22	298.67	76	124.27
68	72	1	2	1	4	2	291.11	334.93	58.22	22.4
68	72	1	2	1	4	3	306.22	356.33	28.44	22.4
68	72	1	2	1	4	4	302.22	379.8	37.33	20.8
68	72	1	2	1	5	1	391.11	311.47	68.89	113.07
68	72	1	2	1	5	2	399.11	341.33	52.89	20.8
68	72	1	2	1	5	3	412	361.13	26.67	21.87
68	72	1	2	1	5	4	408.89	383.53	33.33	21.33
69	162	2	3	1	0	1	285.87	178.51	71.82	116.91
69	162	2	3	1	0	2	290.84	194.53	61.16	30.72
69	162	2	3	1	0	3	307.2	224.25	29.87	20.48
69	162	2	3	1	0	4	303.64	246.96	36.27	22.19
69	162	2	3	1	1	1	199.82	177.62	74.67	116.91
69	162	2	3	1	1	2	204.8	192.75	64	30.72
69	162	2	3	1	1	3	221.87	222.47	31.29	23.04
69	162	2	3	1	1	4	218.31	247.74	40.53	24.75
69	162	2	3	1	2	1	370.49	178.51	71.82	116.91
69	162	2	3	1	2	2	374.04	196.31	65.42	33.28
69	162	2	3	1	2	3	393.24	228.59	30.58	20.48
69	162	2	3	1	2	4	389.69	251.41	36.98	21.33
70	143	2	3	1	0	1	363.38	174.05	71.11	122.03
70	143	2	3	1	0	2	381.16	192.75	50.49	32.43
70	143	2	3	1	0	3	401.78	224.18	30.58	19.63
70	143	2	3	1	0	4	398.22	246.11	30.58	21.33
70	143	2	3	1	1	1	194.84	174.05	72.53	122.03
70	143	2	3	1	1	2	214.04	196.31	52.62	30.72
70	143	2	3	1	1	3	233.24	226.03	33.42	21.33
70	143	2	3	1	1	4	228.27	249.59	32	24.75
70	143	2	3	1	2	1	281.6	173.16	66.13	122.88
70	143	2	3	1	2	2	296.53	190.08	47.64	29.87
70	143	2	3	1	2	3	317.87	218.95	29.87	18.77
70	143	2	3	1	2	4	317.16	239.91	30.58	23.04
71	121	2	3	1	0	1	207.64	174.05	78.93	117.76
71	121	2	3	1	0	2	212.62	187.41	55.47	29.87
71	121	2	3	1	0	3	219.02	216.28	28.44	20.48
71	121	2	3	1	0	4	216.89	238.95	36.98	24.75
71	121	2	3	1	1	1	291.56	176.73	81.78	114.35
71	121	2	3	1	1	2	292.98	189.19	62.58	29.87
71	121	2	3	1	1	3	303.64	218.06	30.58	20.48
71	121	2	3	1	1	4	303.64	240.73	36.27	23.04
71	121	2	3	1	2	1	374.76	176.73	73.24	110.93
71	121	2	3	1	2	2	376.18	188.3	59.02	37.55
71	121	2	3	1	2	3	384.71	224.85	29.87	17.92
71	121	2	3	1	2	4	388.98	245.29	33.42	21.33
72	132	2	3	1	0	1	194.84	174.05	78.93	122.03
72	132	2	3	1	0	2	200.53	188.3	66.84	32.43
72	132	2	3	1	0	3	218.31	219.73	32	21.33
72	132	2	3	1	0	4	211.91	244.25	45.51	23.89
72	132	2	3	1	1	1	281.6	177.62	78.22	120.32
72	132	2	3	1	1	2	286.58	189.19	68.98	35.84
72	132	2	3	1	1	3	302.93	224.03	36.98	20.48
72	132	2	3	1	1	4	298.67	246.96	42.67	24.75
72	132	2	3	1	2	1	374.04	174.94	73.96	119.47
72	132	2	3	1	2	2	378.31	194.53	65.42	34.13
72	132	2	3	1	2	3	398.22	227.67	30.58	22.19
72	132	2	3	1	2	4	393.24	252.23	37.69	19.63
73	133	2	3	1	0	1	364.8	174.05	70.4	123.73
73	133	2	3	1	0	2	384	194.53	46.93	30.72
73	133	2	3	1	0	3	401.07	224.25	34.13	18.77
73	133	2	3	1	0	4	396.09	245.25	34.84	21.33
73	133	2	3	1	1	1	199.82	171.38	71.11	122.03
73	133	2	3	1	1	2	216.89	194.53	50.49	31.57
73	133	2	3	1	1	3	236.8	225.11	32	21.33
73	133	2	3	1	1	4	231.82	248.7	32.71	21.33
73	133	2	3	1	2	1	280.89	171.38	67.56	122.88
73	133	2	3	1	2	2	297.96	190.97	49.78	31.57
73	133	2	3	1	2	3	317.87	221.55	30.58	19.63
73	133	2	3	1	2	4	317.16	243.44	29.87	22.19
74	152	2	3	1	0	1	200.53	172.27	74.67	121.17
74	152	2	3	1	0	2	206.22	189.19	64	33.28
74	152	2	3	1	0	3	222.58	221.47	31.29	19.63
74	152	2	3	1	0	4	216.89	243.44	42.67	21.33
74	152	2	3	1	1	1	283.02	168.71	76.09	123.73
74	152	2	3	1	1	2	290.13	190.08	63.29	34.99
74	152	2	3	1	1	3	302.93	224.07	35.56	19.63
74	152	2	3	1	1	4	301.51	246.11	40.53	25.6
74	152	2	3	1	2	1	369.07	174.05	74.67	117.76
74	152	2	3	1	2	2	375.47	187.41	61.87	32.43
74	152	2	3	1	2	3	388.98	218.84	31.29	19.63
74	152	2	3	1	2	4	387.56	240.76	36.98	23.04
75	112	2	3	1	0	1	286.58	175.83	79.64	121.17
75	112	2	3	1	0	2	295.82	191.86	59.73	31.57
75	112	2	3	1	0	3	310.04	222.44	30.58	22.19
75	112	2	3	1	0	4	305.78	246.89	39.82	20.48
75	112	2	3	1	1	1	201.24	174.05	75.38	125.44
75	112	2	3	1	1	2	206.22	189.19	64.71	32.43
75	112	2	3	1	1	3	221.16	220.62	33.42	23.89
75	112	2	3	1	1	4	218.31	246.81	39.82	23.89
75	112	2	3	1	2	1	374.04	174.94	76.09	122.03
75	112	2	3	1	2	2	380.44	193.64	64	29.87
75	112	2	3	1	2	3	397.51	222.51	31.29	23.04
75	112	2	3	1	2	4	393.96	247.74	38.4	23.04
76	142	2	3	1	0	1	196.27	178.51	78.93	112.64
76	142	2	3	1	0	2	204.8	194.53	64	33.28
76	142	2	3	1	0	3	224	226.81	29.87	21.33
76	142	2	3	1	0	4	218.31	250.48	37.69	20.48
76	142	2	3	1	1	1	282.31	182.96	78.93	109.23
76	142	2	3	1	1	2	289.42	197.21	67.56	31.57
76	142	2	3	1	1	3	307.91	227.78	29.87	19.63
76	142	2	3	1	1	4	304.36	249.67	38.4	24.75
76	142	2	3	1	2	1	367.64	183.85	78.22	109.23
76	142	2	3	1	2	2	378.31	200.77	59.02	27.31
76	142	2	3	1	2	3	391.82	227.07	30.58	20.48
76	142	2	3	1	2	4	388.27	250.52	39.11	23.04
77	122	2	3	1	0	1	282.31	180.29	79.64	116.91
77	122	2	3	1	0	2	294.4	193.64	59.02	29.01
77	122	2	3	1	0	3	309.33	221.66	29.87	20.48
77	122	2	3	1	0	4	305.07	244.29	37.69	24.75
77	122	2	3	1	1	1	195.56	178.51	79.64	116.05
77	122	2	3	1	1	2	203.38	192.75	64.71	29.01
77	122	2	3	1	1	3	221.16	220.77	29.16	20.48
77	122	2	3	1	1	4	216.89	243.4	38.4	23.89
77	122	2	3	1	2	1	369.07	179.4	78.22	115.2
77	122	2	3	1	2	2	374.04	196.31	68.27	30.72
77	122	2	3	1	2	3	392.53	226.03	29.87	20.48
77	122	2	3	1	2	4	390.4	248.74	35.56	23.89
78	163	2	3	1	0	1	286.58	180.29	59.73	114.35
78	163	2	3	1	0	2	294.4	198.1	48.36	29.01
78	163	2	3	1	0	3	317.16	226.11	28.44	21.33
78	163	2	3	1	0	4	315.02	249.59	27.02	23.89
78	163	2	3	1	1	1	204.8	180.29	59.73	110.93
78	163	2	3	1	1	2	212.62	198.99	49.78	29.01
78	163	2	3	1	1	3	231.11	227	29.87	17.92
78	163	2	3	1	1	4	224.71	247.07	32.71	22.19
78	163	2	3	1	2	1	369.07	182.96	59.02	112.64
78	163	2	3	1	2	2	376.89	200.77	46.22	28.16
78	163	2	3	1	2	3	397.51	227.93	30.58	21.33
78	163	2	3	1	2	4	396.8	251.38	27.02	23.89
79	151	2	3	1	0	1	285.16	176.73	76.09	114.35
79	151	2	3	1	0	2	287.29	187.41	57.6	34.13
79	151	2	3	1	0	3	292.27	220.54	32	19.63
79	151	2	3	1	0	4	294.4	242.54	35.56	24.75
79	151	2	3	1	1	1	200.53	174.94	73.24	116.05
79	151	2	3	1	1	2	203.38	191.86	59.02	31.57
79	151	2	3	1	1	3	210.49	222.44	29.87	19.63
79	151	2	3	1	1	4	210.49	244.33	36.27	23.89
79	151	2	3	1	2	1	371.91	174.05	70.4	116.91
79	151	2	3	1	2	2	374.04	190.97	56.89	31.57
79	151	2	3	1	2	3	382.58	221.55	31.29	20.48
79	151	2	3	1	2	4	384	244.29	33.42	24.75
80	112	2	3	2	0	1	285.16	179.4	77.51	119.47
80	112	2	3	2	0	2	295.11	191.86	59.02	34.13
80	112	2	3	2	0	3	310.04	225	30.58	20.48
80	112	2	3	2	0	4	303.64	247.85	41.96	21.33
80	112	2	3	2	1	1	200.53	178.51	73.96	118.61
80	112	2	3	2	1	2	204.8	197.21	65.42	29.01
80	112	2	3	2	1	3	221.16	225.22	31.29	22.19
80	112	2	3	2	1	4	216.89	249.56	40.53	21.33
80	112	2	3	2	2	1	369.07	180.29	81.78	115.2
80	112	2	3	2	2	2	375.47	195.42	69.69	29.87
80	112	2	3	2	2	3	393.96	224.29	32	21.33
80	112	2	3	2	2	4	390.4	247.81	39.11	22.19
81	141	2	3	1	0	1	199.11	176.73	76.8	116.91
81	141	2	3	1	0	2	205.51	192.75	63.29	32.43
81	141	2	3	1	0	3	221.87	224.18	31.29	20.48
81	141	2	3	1	0	4	219.73	246.96	34.84	19.63
81	141	2	3	1	1	1	284.44	178.51	73.96	116.05
81	141	2	3	1	1	2	290.84	194.53	61.87	32.43
81	141	2	3	1	1	3	306.49	225.96	31.29	21.33
81	141	2	3	1	1	4	303.64	249.59	34.84	21.33
81	141	2	3	1	2	1	364.8	178.51	76.09	116.91
81	141	2	3	1	2	2	369.78	193.64	66.84	32.43
81	141	2	3	1	2	3	388.98	225.07	30.58	21.33
81	141	2	3	1	2	4	386.13	249.59	36.27	21.33
82	135	2	3	1	0	1	285.16	176.73	76.09	123.73
82	135	2	3	1	0	2	290.84	196.31	63.29	33.28
82	135	2	3	1	0	3	306.49	228.59	32	20.48
82	135	2	3	1	0	4	302.22	251.41	40.53	22.19
82	135	2	3	1	1	1	197.69	177.62	81.07	122.03
82	135	2	3	1	1	2	208.36	195.42	61.87	30.72
82	135	2	3	1	1	3	224	225.14	30.58	23.04
82	135	2	3	1	1	4	219.73	250.41	37.69	19.63
82	135	2	3	1	2	1	367.64	177.62	81.07	126.29
82	135	2	3	1	2	2	376.18	196.31	64	30.72
82	135	2	3	1	2	3	391.82	226.03	31.29	20.48
82	135	2	3	1	2	4	388.27	248.74	39.82	25.6
83	152	2	3	2	0	1	196.27	177.62	70.4	113.49
83	152	2	3	2	0	2	201.96	191.86	58.31	30.72
83	152	2	3	2	0	3	216.89	221.58	29.16	19.63
83	152	2	3	2	0	4	212.62	243.44	37.69	18.77
83	152	2	3	2	1	1	281.6	176.73	73.96	114.35
83	152	2	3	2	1	2	287.29	193.64	62.58	28.16
83	152	2	3	2	1	3	303.64	220.8	28.44	19.63
83	152	2	3	2	1	4	300.8	243.44	36.27	22.19
83	152	2	3	2	2	1	368.36	175.83	75.38	115.2
83	152	2	3	2	2	2	376.89	195.42	59.02	29.87
83	152	2	3	2	2	3	391.82	224.29	29.87	20.48
83	152	2	3	2	2	4	387.56	246.96	37.69	19.63
84	112	2	3	3	0	1	290.84	174.94	72.53	116.91
84	112	2	3	3	0	2	296.53	190.97	51.91	29.01
84	112	2	3	3	0	3	300.09	218.99	29.16	20.48
84	112	2	3	3	0	4	297.96	241.62	39.11	21.33
84	112	2	3	3	1	1	196.98	172.27	72.53	119.47
84	112	2	3	3	1	2	199.82	188.3	53.33	31.57
84	112	2	3	3	1	3	204.8	218.87	32	23.04
84	112	2	3	3	1	4	206.93	244.18	34.13	23.89
84	112	2	3	3	2	1	373.33	176.73	81.78	116.05
84	112	2	3	3	2	2	376.18	190.08	61.87	31.57
84	112	2	3	3	2	3	384.71	220.66	31.29	21.33
84	112	2	3	3	2	4	384.71	244.25	34.84	21.33
85	153	2	3	1	0	1	378.31	180.29	60.44	111.79
85	153	2	3	1	0	2	388.27	194.53	46.22	32.43
85	153	2	3	1	0	3	408.18	225.96	30.58	17.92
85	153	2	3	1	0	4	403.91	246.18	31.29	22.19
85	153	2	3	1	1	1	206.22	172.27	61.16	118.61
85	153	2	3	1	1	2	216.89	194.53	46.93	30.72
85	153	2	3	1	1	3	236.8	224.25	30.58	19.63
85	153	2	3	1	1	4	231.82	246.11	28.44	22.19
85	153	2	3	1	2	1	288.71	174.94	63.29	117.76
85	153	2	3	1	2	2	297.96	194.53	50.49	29.87
85	153	2	3	1	2	3	317.87	223.4	31.29	19.63
85	153	2	3	1	2	4	312.89	245.22	33.42	23.04
86	131	2	3	1	0	1	206.93	174.94	78.93	122.88
86	131	2	3	1	0	2	209.78	190.08	56.89	31.57
86	131	2	3	1	0	3	214.76	220.66	32.71	23.04
86	131	2	3	1	0	4	214.76	245.96	41.96	21.33
86	131	2	3	1	1	1	291.56	177.62	73.24	116.91
86	131	2	3	1	1	2	292.27	195.42	57.6	29.87
86	131	2	3	1	1	3	302.93	224.29	30.58	21.33
86	131	2	3	1	1	4	302.93	247.81	34.13	23.04
86	131	2	3	1	2	1	372.62	182.96	76.8	111.79
86	131	2	3	1	2	2	375.47	191.86	54.76	34.13
86	131	2	3	1	2	3	382.58	225	29.87	21.33
86	131	2	3	1	2	4	383.29	248.7	36.98	23.89
87	162	2	3	2	0	1	373.33	180.29	69.69	114.35
87	162	2	3	2	0	2	379.02	199.88	56.89	29.87
87	162	2	3	2	0	3	395.38	228.74	27.73	19.63
87	162	2	3	2	0	4	389.69	250.56	36.27	22.19
87	162	2	3	2	1	1	194.84	179.4	74.67	114.35
87	162	2	3	2	1	2	202.67	198.99	59.02	29.01
87	162	2	3	2	1	3	216.18	227	30.58	18.77
87	162	2	3	2	1	4	211.2	247.92	41.96	22.19
87	162	2	3	2	2	1	279.47	182.07	78.93	114.35
